t(s)	ch1x	ch1y
9.690391e+00	-7.705132e-01	6.374240e-01
9.690668e+00	9.999939e-01	3.490651e-03
9.690928e+00	9.999756e-01	6.981260e-03
9.691188e+00	9.999452e-01	1.047178e-02
9.691448e+00	9.999025e-01	1.396218e-02
9.691711e+00	9.998477e-01	1.745241e-02
9.691963e+00	9.997807e-01	2.094242e-02
9.692207e+00	9.997015e-01	2.443218e-02
9.692428e+00	9.996101e-01	2.792164e-02
9.706275e+00	9.995066e-01	3.141076e-02
9.706494e+00	9.993908e-01	3.489950e-02
9.706712e+00	9.992629e-01	3.838781e-02
9.706929e+00	9.991228e-01	4.187565e-02
9.707143e+00	9.989706e-01	4.536299e-02
9.707351e+00	9.988061e-01	4.884977e-02
9.707554e+00	9.986295e-01	5.233596e-02
9.707983e+00	9.984408e-01	5.582150e-02
9.721865e+00	9.982398e-01	5.930637e-02
9.722117e+00	9.980267e-01	6.279052e-02
9.722367e+00	9.978015e-01	6.627390e-02
9.722625e+00	9.975641e-01	6.975647e-02
9.722862e+00	9.973145e-01	7.323820e-02
9.723085e+00	9.970528e-01	7.671903e-02
9.723286e+00	9.967789e-01	8.019892e-02
9.723971e+00	9.964929e-01	8.367784e-02
9.737805e+00	9.961947e-01	8.715574e-02
9.737977e+00	9.958844e-01	9.063258e-02
9.738145e+00	9.955620e-01	9.410831e-02
9.738312e+00	9.952274e-01	9.758290e-02
9.738485e+00	9.948807e-01	1.010563e-01
9.738660e+00	9.945219e-01	1.045285e-01
9.738831e+00	9.941510e-01	1.079994e-01
9.739940e+00	9.937679e-01	1.114689e-01
9.753044e+00	9.933728e-01	1.149372e-01
9.753194e+00	9.929655e-01	1.184040e-01
9.753347e+00	9.925462e-01	1.218693e-01
9.753503e+00	9.921147e-01	1.253332e-01
9.753658e+00	9.916712e-01	1.287956e-01
9.753815e+00	9.912155e-01	1.322564e-01
9.753971e+00	9.907478e-01	1.357156e-01
9.768331e+00	9.902681e-01	1.391731e-01
9.768504e+00	9.897762e-01	1.426289e-01
9.768676e+00	9.892723e-01	1.460830e-01
9.768848e+00	9.887564e-01	1.495353e-01
9.769019e+00	9.882284e-01	1.529858e-01
9.769191e+00	9.876883e-01	1.564345e-01
9.769363e+00	9.871363e-01	1.598812e-01
9.769977e+00	9.865722e-01	1.633260e-01
9.784179e+00	9.859960e-01	1.667687e-01
9.784329e+00	9.854079e-01	1.702095e-01
9.784482e+00	9.848078e-01	1.736482e-01
9.784635e+00	9.841956e-01	1.770847e-01
9.784787e+00	9.835715e-01	1.805191e-01
9.784951e+00	9.829353e-01	1.839514e-01
9.785116e+00	9.822873e-01	1.873813e-01
9.785945e+00	9.816272e-01	1.908090e-01
9.799375e+00	9.809552e-01	1.942344e-01
9.799536e+00	9.802712e-01	1.976573e-01
9.799689e+00	9.795752e-01	2.010779e-01
9.799843e+00	9.788674e-01	2.044961e-01
9.799997e+00	9.781476e-01	2.079117e-01
9.800151e+00	9.774159e-01	2.113248e-01
9.800305e+00	9.766723e-01	2.147353e-01
9.815810e+00	9.759168e-01	2.181432e-01
9.816173e+00	9.751494e-01	2.215485e-01
9.816376e+00	9.743701e-01	2.249511e-01
9.816583e+00	9.735789e-01	2.283509e-01
9.816790e+00	9.727759e-01	2.317479e-01
9.816996e+00	9.719610e-01	2.351421e-01
9.817179e+00	9.711343e-01	2.385335e-01
9.817359e+00	9.702957e-01	2.419219e-01
9.817963e+00	9.694453e-01	2.453074e-01
9.830807e+00	9.685832e-01	2.486899e-01
9.830968e+00	9.677092e-01	2.520694e-01
9.831122e+00	9.668234e-01	2.554458e-01
9.831269e+00	9.659258e-01	2.588190e-01
9.831418e+00	9.650165e-01	2.621892e-01
9.831568e+00	9.640954e-01	2.655561e-01
9.831947e+00	9.631626e-01	2.689198e-01
9.846612e+00	9.622180e-01	2.722802e-01
9.846816e+00	9.612617e-01	2.756374e-01
9.847016e+00	9.602937e-01	2.789911e-01
9.847191e+00	9.593140e-01	2.823415e-01
9.847368e+00	9.583226e-01	2.856884e-01
9.847534e+00	9.573195e-01	2.890318e-01
9.847701e+00	9.563048e-01	2.923717e-01
9.847966e+00	9.552784e-01	2.957081e-01
9.862612e+00	9.542403e-01	2.990408e-01
9.862843e+00	9.531907e-01	3.023699e-01
9.863077e+00	9.521294e-01	3.056953e-01
9.863303e+00	9.510565e-01	3.090170e-01
9.863577e+00	9.499721e-01	3.123349e-01
9.863786e+00	9.488760e-01	3.156490e-01
9.863996e+00	9.477684e-01	3.189593e-01
9.864198e+00	9.466493e-01	3.222657e-01
9.878355e+00	9.455186e-01	3.255682e-01
9.878661e+00	9.443764e-01	3.288666e-01
9.878964e+00	9.432227e-01	3.321611e-01
9.879250e+00	9.420575e-01	3.354516e-01
9.879524e+00	9.408808e-01	3.387379e-01
9.879795e+00	9.396926e-01	3.420201e-01
9.880171e+00	9.384930e-01	3.452982e-01
9.880483e+00	9.372820e-01	3.485720e-01
9.894105e+00	9.360595e-01	3.518416e-01
